iter	Passed	Remaining
737	26667	9467
738	26730	9440
739	26775	9407
740	26812	9371
741	26873	9344
742	26906	9306
743	26936	9268
744	26962	9228
745	26990	9189
746	27018	9150
747	27048	9112
748	27090	9078
749	27128	9042
750	27161	9005
751	27190	8967
752	27223	8929
753	27252	8891
754	27285	8854
755	27324	8819
756	27359	8782
757	27393	8745
758	27423	8707
759	27455	8670
760	27482	8631
761	27516	8594
762	27548	8556
763	27580	8519
764	27610	8481
765	27643	8444
766	27674	8406
767	27703	8368
768	27732	8330
769	27766	8293
770	27796	8256
771	27829	8218
772	27858	8180
773	27890	8143
774	27916	8104
775	27946	8066
776	27972	8028
777	27999	7989
778	28027	7951
779	28057	7913
780	28086	7875
781	28123	7840
782	28152	7802
783	28183	7764
784	28218	7728
785	28249	7691
786	28284	7655
787	28311	7616
788	28345	7580
789	28374	7542
790	28416	7508
791	28455	7473
792	28490	7437
793	28524	7400
794	28556	7363
795	28591	7327
796	28623	7290
797	28654	7253
798	28685	7216
799	28717	7179
800	28750	7142
801	28785	7106
802	28818	7070
803	28863	7036
804	28912	7003
805	28965	6971
806	29015	6939
807	29065	6906
808	29095	6869
809	29127	6832
810	29158	6795
811	29188	6757
812	29216	6720
813	29244	6682
814	29276	6645
815	29319	6611
816	29364	6577
817	29412	6544
818	29462	6511
819	29501	6475
820	29540	6440
821	29574	6404
822	29607	6367
823	29638	6330
824	29671	6293
825	29701	6256
826	29733	6219
827	29770	6184
828	29799	6146
829	29826	6109
830	29853	6071
831	29885	6034
832	29913	5997
833	29946	5960
834	29978	5923
835	30009	5886
836	30035	5849
837	30061	5811
838	30089	5773
839	30117	5736
840	30144	5699
841	30174	5662
842	30201	5624
843	30231	5587
844	30259	5550
845	30289	5513
846	30320	5477
847	30348	5439
848	30380	5403
849	30409	5366
850	30442	5330
851	30471	5293
852	30497	5255
853	30529	5219
854	30558	5182
855	30589	5145
856	30618	5108
857	30646	5072
858	30679	5035
859	30712	4999
860	30743	4963
861	30771	4926
862	30803	4890
863	30836	4853
864	30865	4817
865	30892	4780
866	30924	4743
867	30954	4707
868	30985	4670
869	31010	4633
870	31040	4597
871	31077	4561
872	31119	4527
873	31156	4491
874	31198	4456
875	31237	4421
876	31273	4386
877	31306	4350
878	31339	4314
879	31374	4278
880	31406	4242
881	31444	4206
882	31478	4170
883	31512	4135
884	31555	4100
885	31591	4064
886	31637	4030
887	31677	3995
888	31712	3959
889	31750	3924
890	31784	3888
891	31819	3852
892	31856	3817
893	31895	3781
894	31934	3746
895	31992	3713
896	32026	3677
897	32060	3641
898	32096	3605
899	32139	3571
900	32188	3536
901	32235	3502
902	32299	3469
903	32348	3435
904	32385	3399
905	32416	3363
906	32447	3327
907	32476	3290
908	32508	3254
909	32537	3217
910	32566	3181
911	32595	3145
912	32622	3108
913	32652	3072
914	32695	3037
915	32738	3002
916	32771	2966
917	32798	2929
918	32825	2893
919	32851	2856
920	32876	2820
921	32899	2783
922	32924	2746
923	32947	2709
924	32972	2673
925	32999	2637
926	33023	2600
927	33046	2563
928	33068	2527
929	33090	2490
930	33112	2454
931	33135	2417
932	33158	2381
933	33184	2344
934	33213	2308
935	33240	2272
936	33269	2236
937	33295	2200
938	33317	2164
939	33339	2128
940	33362	2091
941	33384	2055
942	33407	2019
943	33431	1983
944	33456	1947
945	33483	1911
946	33512	1875
947	33553	1840
948	33604	1805
949	33648	1770
950	33689	1735
951	33731	1700
952	33768	1665
953	33796	1629
954	33829	1594
955	33855	1558
956	33880	1522
957	33909	1486
958	33953	1451
959	33979	1415
960	34002	1379
961	34043	1344
962	34073	1309
963	34099	1273
964	34127	1237
965	34155	1202
966	34183	1166
967	34212	1130
968	34239	1095
969	34266	1059
970	34294	1024
971	34320	988
972	34345	953
973	34373	917
974	34400	882
975	34432	846
976	34462	811
977	34488	775
978	34513	740
979	34543	704
980	34571	669
981	34600	634
982	34631	598
983	34662	563
984	34694	528
985	34725	493
986	34765	457
987	34804	422
988	34837	387
989	34890	352
990	34927	317
991	34967	281
992	35008	246
993	35069	211
994	35149	176
995	35235	141
996	35297	106
997	35352	70
998	35400	35
999	35451	0
